OBJECTID;equipamien;x;y;identifica;codvia;numportal;telefono;geo_shape;geo_point_2d
23618;ACCU. ASOCIACIÓN DE ENFERMOS DE CROHN Y COLITIS ULCEROSA;725388.057;4372172.52;009301;8790;48;963520598;"{""coordinates"": [-0.3798856164450737, 39.46964198646017], ""type"": ""Point""}";39.46964198646017, -0.3798856164450737
23654;CENTRO MUNICIPAL DE SERVICIOS SOCIALES PATRAIX;724178.2183866;4371365.98722283;003265;66480;13;962084670;"{""coordinates"": [-0.394207159942907, 39.46269808287061], ""type"": ""Point""}";39.46269808287061, -0.394207159942907
23684;INFOCIUDAD - ASOCIACIÓN DE VECINOS ORRIOLS - RASACANYA;726142.111;4374530.352;010170;69360;12;655563218;"{""coordinates"": [-0.3703288262858909, 39.4906673075922], ""type"": ""Point""}";39.4906673075922, -0.3703288262858909
23690;CENTRE DE RECURSOS 'JUST RAMIREZ';725266.761;4372740.027;009562;70170;10;963922088;"{""coordinates"": [-0.3811026473774138, 39.47478197717302], ""type"": ""Point""}";39.47478197717302, -0.3811026473774138
23748;FUNDACIÓN POR LA JUSTICIA DE LA COMUNIDAD VALENCIANA;724344.93;4372338.562;010171;41880;57;961047335;"{""coordinates"": [-0.39194422373030147, 39.4714090762745], ""type"": ""Point""}";39.4714090762745, -0.39194422373030147
23799;ASOCIACIÓN ENFERMOS DE HEPATITIS C;725388.057;4372172.52;001518;8790;48;963509187;"{""coordinates"": [-0.3798856164450737, 39.46964198646017], ""type"": ""Point""}";39.46964198646017, -0.3798856164450737
23803;ASOCIACIÓN ESCLEROSIS MÚLTIPLE DE LA COMUNIDAD VALENCIANA;729220.581;4371944.379;000487;71130;61;963562820;"{""coordinates"": [-0.3354560669325877, 39.466576510606764], ""type"": ""Point""}";39.466576510606764, -0.3354560669325877
23927;ASOCIACIÓN VALENCIANA PARA LA LUCHA CONTRA LA ANOREXIA Y LA BULIMIA - AVALCAB;725639.62;4373750.169;000477;41430;12;963462120;"{""coordinates"": [-0.37643033523641756, 39.48377673980659], ""type"": ""Point""}";39.48377673980659, -0.37643033523641756
23937;ASOCIACIÓN ESPAÑOLA CONTRA EL CÁNCER;726779.02;4372772.92;000458;60630;9ac;963391400;"{""coordinates"": [-0.36352772569636216, 39.4746809387457], ""type"": ""Point""}";39.4746809387457, -0.36352772569636216
23942;COMEDOR SOCIAL SAN JOSÉ;727073.559;4374114.252;003490;61650;5;963690531;"{""coordinates"": [-0.3596500950616476, 39.48667659834158], ""type"": ""Point""}";39.48667659834158, -0.3596500950616476
24002;ATHEP. ASOCIACIÓN DE ENFERMOS Y TRASPLANTADOS HEPÁTICOS DE LA COMUNIDAD VALENCIANA;725430.928;4369645.622;009537;44460;100;963463033;"{""coordinates"": [-0.3802410722239011, 39.446885637420536], ""type"": ""Point""}";39.446885637420536, -0.3802410722239011
24023;ENTIDAD RELIGIOSA SIERVAS DE JESÚS;726882.379;4371566.663;003515;66420;58;963742648;"{""coordinates"": [-0.36273746768906984, 39.46379606301067], ""type"": ""Point""}";39.46379606301067, -0.36273746768906984
24096;COMISIÓN DIOCESANA DE ACCIÓN SOCIAL;725859.63;4372714.075;003491;7650;12;963158219;"{""coordinates"": [-0.37422566042963296, 39.47439299534256], ""type"": ""Point""}";39.47439299534256, -0.37422566042963296
24100;APNAV. ASOCIACIÓN VALENCIANA DE PADRES DE AUTISTAS;723328.262;4371290.904;009481;73920;67;961362525;"{""coordinates"": [-0.40410244523480643, 39.46224311626755], ""type"": ""Point""}";39.46224311626755, -0.40410244523480643
24219;SERVICIO DE ACCIÓN SOCIAL;724049.96;4370389.698;006773;39810;23;963883054;"{""coordinates"": [-0.3960242379352894, 39.45394357800155], ""type"": ""Point""}";39.45394357800155, -0.3960242379352894
24247;DE NEU. ASOCIACIÓN DE ENFERMEDADES DE LOS NEUROTRANSMISORES.;726866.101;4372872.469;010167;48120;13;609325733;"{""coordinates"": [-0.36248246319424793, 39.47555399306607], ""type"": ""Point""}";39.47555399306607, -0.36248246319424793
24248;EL PUCHERO. COCINA SOLIDARIA;726105.647;4375127.201;010164;68370;6;651870721;"{""coordinates"": [-0.3705499118520395, 39.496049180762924], ""type"": ""Point""}";39.496049180762924, -0.3705499118520395
24281;ASOCIACIÓN DE MICROSOMÍA HEMIFACIAL DE VALENCIA;727098.572;4370428.419;009506;33480;67;963953293;"{""coordinates"": [-0.3606141923007682, 39.45349365967457], ""type"": ""Point""}";39.45349365967457, -0.3606141923007682
24291;RED ALQUILA;725296.889;4372414.839;009661;76620;14;902365044;"{""coordinates"": [-0.3808625633318554, 39.47184701274054], ""type"": ""Point""}";39.47184701274054, -0.3808625633318554
24292;SOSTRE. ARQUITECTURA Y COOPERACIÓ;725594.132;4373778.386;010194;77370;14;963173794;"{""coordinates"": [-0.3769491680173898, 39.48404265361042], ""type"": ""Point""}";39.48404265361042, -0.3769491680173898
24330;ASOCIACIÓN ORRIOLS CONVIVE;726232.393;4374878.24;010145;6870;34;961336003;"{""coordinates"": [-0.36916192923790503, 39.493774932598285], ""type"": ""Point""}";39.493774932598285, -0.36916192923790503
24334;CENTRO MUNICIPAL DE SERVICIOS SOCIALES BENIMACLET;727139.1805291;4374032.67269856;003261;69570;15;962084380;"{""coordinates"": [-0.3589156230263944, 39.48592497882154], ""type"": ""Point""}";39.48592497882154, -0.3589156230263944
24335;CENTRO MUNICIPAL DE SERVICIOS SOCIALES CIUTAT VELLA;725392.91320549;4373063.03520921;003263;48000;2;962084167;"{""coordinates"": [-0.37952831029166195, 39.47765640116092], ""type"": ""Point""}";39.47765640116092, -0.37952831029166195
24353;ASOCIACIÓN AFECTADOS RETINOSIS PIGMENTARIA - COMUNIDAD VALENCIANA;725388.057;4372172.52;000471;32640;3;963511735;"{""coordinates"": [-0.3798856164450737, 39.46964198646017], ""type"": ""Point""}";39.46964198646017, -0.3798856164450737
